"ID","count"
"Mattern, Eleanor",6
"Price, Jason S.",2
"Wang, Jieyong",1
"Tang, Qiong",35
"Elmacioglu, Ergin",2
"Bozanis, Panayiotis",14
"Fraser, L",2
"Kim, SL",11
"Delanghe, Henri",4
"MORGAN, RP",1
"Cohen, SA",5
"Cechlarova, Katarina",4
"Baglioglu, Ozgur",11
"Merrell, Mary Ann",11
"Hargittai, E",1
"Ganguly, Niloy",7
"Allesina, Stefano",7
"Buter, R. K.",2
"Gao, Lidan",67
"Rice, Ronald E.",4
"Stichele, Robert Vander",7
"Santos, Marcio P. S.",4
"Olijnyk, Nicholas V.",2
"Molotja, Neo",3
"Shu, Fei",1
"Herring, P",17
"Chung, YM",2
"MACIASCHAPULA, CA",3
"Sarbolouki, MN",6
"Barreau, Deborah",1
"Maria Cavero, Jose",15
"Takeda, Yoshiyuki",17
"Javier Otamendi, F.",4
"Yanagiya, Ryuichi",2
"Zhang, Lei",2
"Lorenzetti, Edoardo",2
"Janssen, Ruud",5
"Boudreau, Marie-Claude",7
"Gutierrez-Gracia, Antonio",8
"Turk, Goran",11
"Ho, Shung-Tai",11
"Grupp, H",10
"Lee, GG",4
"Chen, Tsung Teng",2
"Webster, Gregory D.",7
"Salaun, JM",3
"Araujo, Rafael J.",2
"Poulos, Marios",4
"Sappelli, Maya",17
"Bigdeli, Zahed",16
"Hofmann, Katja",13
"Peekhaus, Wilhelm",1
"Suri, Venkata Ratandeep",32
"Ramanana-Rahary, Suzy",1
"Ircha, D",3
"Li, Jiang",28
"Zhou, Pengbo",21
"Yue, WP",1
"Sundar, S. Shyam",4
"Hicks, D",7
"Fried, Michael",6
"Magee, Christopher L.",5
"Zhao, Star X.",20
"Ess, Charles",1
"Jackson, Andrew D.",4
"Gao, Wei",19
"Wu, Margaret",4
"Krichel, Thomas",14
"RINGE, MJ",3
"Tutzauer, Frank",7
"Genest, C",2
"Etemad, Shapour",4
"BOCOCK, D",2
"Chen, JQ",2
"BOALT, G",2
"Panzarasa, Pietro",2
"Yaari, Eti",10
"Wang, Xiaona",26
"Mbarika, Victor",8
"Mak, Bonnie",1
"Cabral, Jose A. S.",4
"Shi, Yuan",2
"Houston, Ron",1
"Slavova, Mira",3
"BIALON, L",1
"Gurgel, Julio de Araujo",11
"Docampo, D.",4
"Dawson, G",2
"Zhang, Jiaen",4
"Bruins, EEW",13
"Page, Lionel",4
"Pearman, Alan",3
"Lal, Kashmiri",5
"Moreno, Luz",76
"Pahlevi, SM",2
"Kaipainen, Paivi",7
"KUNDRA, R",2
"Amjad, Tehmina",11
"Neal, Diane",1
"Anastasiadis, Aristoklis D.",7
"Hedman, Juha",7
"Dai, Qiangbin",5
"Mirel, Barbara",16
"Oulasvirta, Antti",4
"Yu Liping",7
"McLeod, Julie",2
"Song, Min",39
"Dong, Dayong",11
"Haynes, A. S.",11
"Pinheiro, Diogo",14
"Delcambre, L",7
"Velema, Thijs A.",1
"Srinivasan, R",8
"van der Eijk, CC",11
"Tang, Juan",4
"KALYANE, VL",2
"Cointet, Jean-Philippe",4
"OROMANER, M",3
"Kawamura, Shuntaro",2
"Fiore, Gianluca",4
"Yang, CC",14
"Chang, Chia-Pin",4
"Guccio, Calogero",4
"Oliveira, Eduardo A.",48
"Anderson, Thomas R.",4
"Zhou, YL",2
"Archunan, Govindaraju",7
"Yakel, E",2
"Cheng, Qing",7
"Ahmad, Suhail",16
"Vana, Laura",4
"KNOBLE, JM",4
"Zeng, XH",5
"Tseng, Ampere A.",2
"NABI, SA",3
"Albrecht, Vladimir",4
"Koenig, Wolfgang",7
"van der Sluis, Frans",11
"Mardis, Marcia A.",4
"Tijssen, RJW",57
"Zhang, Weiwei",2
"Crestani, Fabio",10
"Kuo, Tsung Hsien",7
"Rodriguez, Marko A.",16
"BURGER, WJM",9
"Sanchez-Riofrio, Angelica Maria",4
"TONG, YG",5
"Brunton, Finn",1
"Truran, Mark",2
"Zhang, Lin",45
"Nemtsov, AV",5
"Guan, Jiancheng",53
"Bruso, P",75
"Perkins, Louise A.",7
"Chan, CML",7
"Galloway, C",2
"WILSON, MK",4
"Balcik, Erman",29
"Fujigaki, Yuko",1
"Dai, YB",4
"Van Hecke, P",3
"Long, Xiao",69
"Garon, Edward",16
"Krawiec, Adam",2
"Pudovkin, AI",5
"ROY, R",6
"Lin, Pin-Hua",5
"de Vries, AP",1
