,CPY,RPY,abs-deviation,num-cites,rank
0,1978,1950,2,2,5
1,1978,1951,0,0,0
2,1978,1952,-1,0,0
3,1978,1953,2,3,6
4,1978,1954,0,1,11
5,1978,1955,0,2,12
6,1978,1956,-1,1,25
7,1978,1957,2,4,7
8,1978,1958,-1,2,26
9,1978,1959,0,3,13
10,1978,1960,1,4,9
11,1978,1961,-2,2,27
12,1978,1962,0,5,14
13,1978,1963,0,7,15
14,1978,1964,0,8,16
15,1978,1965,0,8,17
16,1978,1966,4,12,2
17,1978,1967,2,14,8
18,1978,1968,-7,6,28
19,1978,1969,0,14,18
20,1978,1970,0,13,19
21,1978,1971,7,21,1
22,1978,1972,-13,8,29
23,1978,1973,0,22,20
24,1978,1974,3,25,3
25,1978,1975,3,25,4
26,1978,1976,0,21,21
27,1978,1977,0,0,0
28,1978,1978,0,0,0
29,1979,1950,0,1,11
30,1979,1951,2,3,8
31,1979,1952,-1,1,22
32,1979,1953,1,3,10
33,1979,1954,0,2,12
34,1979,1955,0,2,13
35,1979,1956,-1,1,23
36,1979,1957,6,8,3
37,1979,1958,-1,1,24
38,1979,1959,0,2,14
39,1979,1960,5,7,4
40,1979,1961,-2,1,25
41,1979,1962,-4,3,27
42,1979,1963,0,14,15
43,1979,1964,2,19,9
44,1979,1965,0,17,16
45,1979,1966,3,20,7
46,1979,1967,0,17,17
47,1979,1968,-3,14,26
48,1979,1969,-4,13,28
49,1979,1970,5,22,5
50,1979,1971,-5,17,29
51,1979,1972,5,31,6
52,1979,1973,-5,26,30
53,1979,1974,0,32,18
54,1979,1975,0,33,19
55,1979,1976,18,51,2
56,1979,1977,24,57,1
57,1979,1978,0,0,0
58,1979,1979,0,0,0
59,1980,1950,-1,1,23
60,1980,1951,0,2,10
61,1980,1952,-1,1,24
62,1980,1953,0,2,11
63,1980,1954,0,2,12
64,1980,1955,-1,1,25
65,1980,1956,1,5,8
66,1980,1957,0,4,13
67,1980,1958,0,4,14
68,1980,1959,2,6,6
69,1980,1960,0,4,15
70,1980,1961,-2,4,27
71,1980,1962,0,8,16
72,1980,1963,8,20,3
73,1980,1964,0,12,17
74,1980,1965,-2,12,28
75,1980,1966,0,14,18
76,1980,1967,3,17,4
77,1980,1968,-3,14,30
78,1980,1969,3,30,5
79,1980,1970,0,30,19
80,1980,1971,-3,27,31
81,1980,1972,1,40,9
82,1980,1973,-1,39,26
83,1980,1974,2,46,7
84,1980,1975,-2,44,29
85,1980,1976,12,58,2
86,1980,1977,24,68,1
87,1980,1978,0,39,20
88,1980,1979,0,0,0
89,1980,1980,0,0,0
90,1981,1950,0,1,10
91,1981,1951,-1,0,0
92,1981,1952,0,1,11
93,1981,1953,1,2,7
94,1981,1954,-1,0,0
95,1981,1955,0,2,12
96,1981,1956,0,1,13
97,1981,1957,0,2,14
98,1981,1958,-1,1,24
99,1981,1959,1,6,8
100,1981,1960,-1,5,25
101,1981,1961,0,6,15
102,1981,1962,2,8,5
103,1981,1963,0,7,16
104,1981,1964,-4,4,32
105,1981,1965,3,14,3
106,1981,1966,1,12,9
107,1981,1967,-1,11,26
108,1981,1968,-3,9,30
109,1981,1969,5,20,2
110,1981,1970,-2,15,27
111,1981,1971,-3,17,31
112,1981,1972,0,22,17
113,1981,1973,2,28,6
114,1981,1974,-2,26,28
115,1981,1975,14,42,1
116,1981,1976,0,30,18
117,1981,1977,-2,28,29
118,1981,1978,3,31,4
119,1981,1979,0,26,19
120,1981,1980,0,0,0
121,1981,1981,0,0,0
122,1982,1950,0,1,11
123,1982,1951,0,1,12
124,1982,1952,-1,0,0
125,1982,1953,4,5,4
126,1982,1954,-1,1,24
127,1982,1955,0,4,13
128,1982,1956,-2,2,27
129,1982,1957,6,10,1
130,1982,1958,1,6,9
131,1982,1959,-4,2,28
132,1982,1960,-1,5,25
133,1982,1961,1,9,10
134,1982,1962,0,8,14
135,1982,1963,6,15,2
136,1982,1964,-10,4,33
137,1982,1965,-1,14,26
138,1982,1966,4,18,5
139,1982,1967,4,18,6
140,1982,1968,-6,12,32
141,1982,1969,-4,14,29
142,1982,1970,5,20,3
143,1982,1971,0,20,15
144,1982,1972,-5,15,31
145,1982,1973,4,24,7
146,1982,1974,-4,20,30
147,1982,1975,0,28,16
148,1982,1976,0,28,17
149,1982,1977,0,32,18
150,1982,1978,0,37,19
151,1982,1979,4,41,8
152,1982,1980,0,37,20
153,1982,1981,0,0,0
154,1982,1982,0,0,0
155,1983,1950,2,2,8
156,1983,1951,-1,0,0
157,1983,1952,0,0,0
158,1983,1953,1,1,11
159,1983,1954,-1,0,0
160,1983,1955,1,2,12
161,1983,1956,0,1,15
162,1983,1957,2,3,9
163,1983,1958,0,1,16
164,1983,1959,-1,0,0
165,1983,1960,4,5,4
166,1983,1961,-3,0,0
167,1983,1962,3,6,5
168,1983,1963,0,3,17
169,1983,1964,-1,3,27
170,1983,1965,3,7,6
171,1983,1966,-1,4,28
172,1983,1967,-2,5,30
173,1983,1968,2,7,10
174,1983,1969,7,12,3
175,1983,1970,-2,5,31
176,1983,1971,-7,5,34
177,1983,1972,0,14,18
178,1983,1973,0,15,19
179,1983,1974,0,20,20
180,1983,1975,3,24,7
181,1983,1976,-3,21,33
182,1983,1977,1,30,13
183,1983,1978,0,29,21
184,1983,1979,-1,29,29
185,1983,1980,131,160,1
186,1983,1981,123,152,2
187,1983,1982,0,0,0
188,1983,1983,0,0,0
189,1984,1950,-1,2,25
190,1984,1951,1,4,10
191,1984,1952,-2,1,27
192,1984,1953,0,3,15
193,1984,1954,0,3,16
194,1984,1955,1,4,11
195,1984,1956,0,3,17
196,1984,1957,3,6,8
197,1984,1958,0,3,18
198,1984,1959,-3,3,30
199,1984,1960,0,8,19
200,1984,1961,0,8,20
201,1984,1962,2,10,9
202,1984,1963,-2,8,28
203,1984,1964,1,11,12
204,1984,1965,6,15,5
205,1984,1966,-3,8,31
206,1984,1967,0,9,21
207,1984,1968,5,14,6
208,1984,1969,-2,8,29
209,1984,1970,0,13,22
210,1984,1971,-3,10,32
211,1984,1972,5,18,7
212,1984,1973,17,35,3
213,1984,1974,-12,13,35
214,1984,1975,-9,25,34
215,1984,1976,8,41,4
216,1984,1977,1,34,13
217,1984,1978,-1,33,26
218,1984,1979,-3,31,33
219,1984,1980,0,37,23
220,1984,1981,58,95,2
221,1984,1982,136,173,1
222,1984,1983,0,0,0
223,1984,1984,0,0,0
224,1985,1950,0,3,13
225,1985,1951,0,3,14
