"From","To","weight"
"Park H, 2012, SCIENTOMETRICS","Yoon J, 2012, SCIENTOMETRICS",2
"Park H, 2012, SCIENTOMETRICS","Yoon J, 2011, SCIENTOMETRICS",3
"Vieira Es, 2010, J INFORMETR","Moed Hf, 2012, SCIENTOMETRICS",3
"Vieira Es, 2010, J INFORMETR","Egghe L, 2011, SCIENTOMETRICS",2
"Vieira Es, 2010, J INFORMETR","Vanclay Jk, 2012, SCIENTOMETRICS",4
"Vieira Es, 2010, J INFORMETR","Glanzel W, 2010, J INFORMETR",2
"Vieira Es, 2010, J INFORMETR","Perc M, 2010, J INFORMETR",2
"Vieira Es, 2010, J INFORMETR","Moed Hf, 2010, J INFORMETR",3
"Vieira Es, 2010, J INFORMETR","Abramo G, 2011, SCIENTOMETRICS",4
"Vieira Es, 2010, J INFORMETR","Bornmann L, 2011, J INFORMETR",4
"Vieira Es, 2010, J INFORMETR","Van Leeuwen T, 2012, SCIENTOMETRICS",2
"Vieira Es, 2010, J INFORMETR","Opthof T, 2010, J INFORMETR",2
"Vieira Es, 2010, J INFORMETR","Bornmann L, 2010, J INFORMETR",3
"Vieira Es, 2010, J INFORMETR","Vinkler P, 2012, SCIENTOMETRICS",3
"Vieira Es, 2010, J INFORMETR","Franceschet M, 2010, J INFORMETR",5
"Vieira Es, 2010, J INFORMETR","Leydesdorff L, 2011, J AM SOC INF SCI TEC",2
"Vieira Es, 2010, J INFORMETR","Sangwal K, 2012, SCIENTOMETRICS",4
"Vieira Es, 2010, J INFORMETR","Bornmann L, 2012, J INFORMETR",5
"Vieira Es, 2010, J INFORMETR","Van Raan Afj, 2010, J INFORMETR",2
"Vieira Es, 2010, J INFORMETR","Lariviere V, 2010, J AM SOC INF SCI TEC",4
"Vieira Es, 2010, J INFORMETR","Vinkler P, 2011, J AM SOC INF SCI TEC",2
"Vieira Es, 2010, J INFORMETR","Vinkler P, 2010, SCIENTOMETRICS",3
"Vieira Es, 2010, J INFORMETR","Herranz N, 2012, J INFORMETR",2
"Vieira Es, 2010, J INFORMETR","Sangwal K, 2013, J INFORMETR",3
"Vieira Es, 2010, J INFORMETR","Abramo G, 2012, J INFORMETR",2
"Vieira Es, 2010, J INFORMETR","Lancho-Barrantes Bs, 2010, SCIENTOMETRICS",3
"Vieira Es, 2010, J INFORMETR","Waltman L, 2011, SCIENTOMETRICS",2
"Vieira Es, 2010, J INFORMETR","Borrego A, 2010, SCIENTOMETRICS",2
"Vieira Es, 2010, J INFORMETR","Leydesdorff L, 2011, J INFORMETR",2
"Gingras Y, 2011, J INFORMETR","Leydesdorff L, 2010, J INFORMETR",9
"Gingras Y, 2011, J INFORMETR","Radicchi F, 2012, J INFORMETR",3
"Gingras Y, 2011, J INFORMETR","Van Raan Afj, 2010, J INFORMETR",11
"Gingras Y, 2011, J INFORMETR","Waltman L, 2012, J AM SOC INF SCI TEC",2
"Gingras Y, 2011, J INFORMETR","Leydesdorff L, 2010, J AM SOC INF SCI TEC",8
"Gingras Y, 2011, J INFORMETR","Zitt M, 2010, J INFORMETR",3
"Gingras Y, 2011, J INFORMETR","Leydesdorff L, 2011, J INFORMETR",9
"Gingras Y, 2011, J INFORMETR","Colliander C, 2011, J INFORMETR",3
"Gingras Y, 2011, J INFORMETR","Vinkler P, 2011, J AM SOC INF SCI TEC",3
"Gingras Y, 2011, J INFORMETR","Glanzel W, 2010, J INFORMETR",4
"Gingras Y, 2011, J INFORMETR","Vinkler P, 2010, SCIENTOMETRICS",2
"Gingras Y, 2011, J INFORMETR","Rafols I, 2010, J AM SOC INF SCI TEC",3
"Gingras Y, 2011, J INFORMETR","Prathap G, 2011, SCIENTOMETRICS",2
"Gingras Y, 2011, J INFORMETR","Bornmann L, 2011, J INFORMETR",14
"Gingras Y, 2011, J INFORMETR","Moed Hf, 2011, J AM SOC INF SCI TEC",3
"Gingras Y, 2011, J INFORMETR","Bornmann L, 2011, J AM SOC INF SCI TEC",5
"Gingras Y, 2011, J INFORMETR","Opthof T, 2010, J INFORMETR",16
"Gingras Y, 2011, J INFORMETR","Spaan Jae, 2010, J INFORMETR",8
"Gingras Y, 2011, J INFORMETR","Bornmann L, 2010, J INFORMETR",11
"Gingras Y, 2011, J INFORMETR","Leydesdorff L, 2012, SCIENTOMETRICS",4
"Gingras Y, 2011, J INFORMETR","Moed Hf, 2010, J INFORMETR",16
"Gingras Y, 2011, J INFORMETR","Waltman L, 2011, J INFORMETR",11
"Gingras Y, 2011, J INFORMETR","Rousseau R, 2012, J AM SOC INF SCI TEC",5
"Gingras Y, 2011, J INFORMETR","Waltman L, 2011, SCIENTOMETRICS",6
"Gingras Y, 2011, J INFORMETR","Leydesdorff L, 2011, J AM SOC INF SCI TEC",26
"Gingras Y, 2011, J INFORMETR","Lariviere V, 2011, J INFORMETR",2
"Gingras Y, 2011, J INFORMETR","Zhou P, 2011, J INFORMETR",4
"Chuang Ky, 2011, SCIENTOMETRICS","Wang Mh, 2010, SCIENTOMETRICS",4
"Chuang Ky, 2011, SCIENTOMETRICS","Costas R, 2011, SCIENTOMETRICS",3
"Chuang Ky, 2011, SCIENTOMETRICS","Cho Cc, 2010, SCIENTOMETRICS",2
"Chuang Ky, 2011, SCIENTOMETRICS","Fu Hz, 2011, SCIENTOMETRICS",2
"Chuang Ky, 2011, SCIENTOMETRICS","Mattsson P, 2011, SCIENTOMETRICS",3
"Choung Jy, 2013, SCIENTOMETRICS","Wong Cy, 2013, SCIENTOMETRICS",2
"Choung Jy, 2013, SCIENTOMETRICS","Schulz Pa, 2012, SCIENTOMETRICS",2
"Gao X, 2012, SCIENTOMETRICS","Liu Yx, 2010, J AM SOC INF SCI TEC",2
"Duffy Rd, 2011, SCIENTOMETRICS","Bornmann L, 2012, J INFORMETR",2
"Duffy Rd, 2011, SCIENTOMETRICS","Bornmann L, 2013, J INFORMETR",3
"Duffy Rd, 2011, SCIENTOMETRICS","Waltman L, 2012, J AM SOC INF SCI TEC",2
"Duffy Rd, 2011, SCIENTOMETRICS","Leydesdorff L, 2011, J AM SOC INF SCI TEC",2
"Zhou P, 2012, J INFORMETR","Tang L, 2011, SCIENTOMETRICS",2
"Zhou P, 2012, J INFORMETR","Opthof T, 2010, J INFORMETR",2
"Zhou P, 2012, J INFORMETR","Leydesdorff L, 2011, J AM SOC INF SCI TEC",3
"Zhou P, 2012, J INFORMETR","Bornmann L, 2013, J INFORMETR",2
"Zhou P, 2012, J INFORMETR","Leydesdorff L, 2012, J AM SOC INF SCI TEC",2
"Fragkiadaki E, 2011, SCIENTOMETRICS","Egghe L, 2011, SCIENTOMETRICS",2
"Yoon K, 2012, J AM SOC INF SCI TEC","Thelwall M, 2012, J AM SOC INF SCI TEC",2
"Lancho-Barrantes Bs, 2013, SCIENTOMETRICS","Bornmann L, 2013, J INFORMETR",2
"Lancho-Barrantes Bs, 2013, SCIENTOMETRICS","Bornmann L, 2011, J INFORMETR",2
"Shin Jc, 2010, SCIENTOMETRICS","Leydesdorff L, 2011, J AM SOC INF SCI TEC",3
"Shin Jc, 2010, SCIENTOMETRICS","Costas R, 2010, J AM SOC INF SCI TEC",2
"Shin Jc, 2010, SCIENTOMETRICS","Moed Hf, 2010, J INFORMETR",2
"Shin Jc, 2010, SCIENTOMETRICS","Abramo G, 2011, SCIENTOMETRICS",2
"Ardanuy J, 2012, SCIENTOMETRICS","Lariviere V, 2012, J AM SOC INF SCI TEC",2
"Ardanuy J, 2012, SCIENTOMETRICS","Gazni A, 2011, SCIENTOMETRICS",2
"Ardanuy J, 2012, SCIENTOMETRICS","Franceschet M, 2010, J INFORMETR",2
"Franceschini F, 2013, J INFORMETR","Waltman L, 2012, J AM SOC INF SCI TEC",2
"Chen Cm, 2012, J AM SOC INF SCI TEC","Chen Cm, 2010, J AM SOC INF SCI TEC",2
"Gingras Y, 2010, SCIENTOMETRICS","Vanclay Jk, 2012, SCIENTOMETRICS",2
"Abbasi A, 2010, SCIENTOMETRICS","Schubert A, 2010, SCIENTOMETRICS",2
"Abbasi A, 2010, SCIENTOMETRICS","Abbasi A, 2012, J INFORMETR",2
"Abbasi A, 2010, SCIENTOMETRICS","Schubert A, 2012, SCIENTOMETRICS",2
"Abbasi A, 2010, SCIENTOMETRICS","Zhao Sx, 2011, J INFORMETR",4
"Abbasi A, 2010, SCIENTOMETRICS","Abbasi A, 2011, SCIENTOMETRICS",2
"Abbasi A, 2010, SCIENTOMETRICS","Milojevic S, 2010, J AM SOC INF SCI TEC",2
"Abbasi A, 2010, SCIENTOMETRICS","Guns R, 2011, SCIENTOMETRICS",2
"Abbasi A, 2010, SCIENTOMETRICS","Abbasi A, 2011, J INFORMETR",3
"Gazni A, 2012, J AM SOC INF SCI TEC","Bornmann L, 2012, J INFORMETR",2
"Gazni A, 2012, J AM SOC INF SCI TEC","Zhao Dz, 2010, SCIENTOMETRICS",2
"Gazni A, 2012, J AM SOC INF SCI TEC","Uddin S, 2012, SCIENTOMETRICS",2
"Gazni A, 2012, J AM SOC INF SCI TEC","Abramo G, 2011, SCIENTOMETRICS",4
"Gazni A, 2012, J AM SOC INF SCI TEC","Didegah F, 2013, J INFORMETR",2
"Gazni A, 2012, J AM SOC INF SCI TEC","Gazni A, 2011, SCIENTOMETRICS",4
"Gazni A, 2012, J AM SOC INF SCI TEC","Waltman L, 2011, J INFORMETR",2
"Gazni A, 2012, J AM SOC INF SCI TEC","Franceschet M, 2010, J INFORMETR",7
"Gazni A, 2012, J AM SOC INF SCI TEC","Franceschet M, 2011, J AM SOC INF SCI TEC",2
"Zhao Sx, 2012, J INFORMETR","Ye Fy, 2011, J AM SOC INF SCI TEC",2
"Zhao Sx, 2012, J INFORMETR","Zhao Sx, 2011, J INFORMETR",2
"Zhao Sx, 2012, J INFORMETR","Schubert A, 2012, SCIENTOMETRICS",2
"Zhao Sx, 2012, J INFORMETR","Schubert A, 2012, J INFORMETR",2
"Guan Jc, 2012, SCIENTOMETRICS","Chen Zf, 2010, J INFORMETR",3
"Guan Jc, 2012, SCIENTOMETRICS","Hung Sw, 2010, SCIENTOMETRICS",2
"Guan Jc, 2012, SCIENTOMETRICS","Chen Jh, 2013, SCIENTOMETRICS",2
"Borner K, 2010, SCIENTOMETRICS","Chen P, 2010, J INFORMETR",3
"Borner K, 2010, SCIENTOMETRICS","Cobo Mj, 2011, J INFORMETR",2
"Borner K, 2010, SCIENTOMETRICS","Leydesdorff L, 2010, J AM SOC INF SCI TEC",2
"Borner K, 2010, SCIENTOMETRICS","Upham Sp, 2010, SCIENTOMETRICS",2
"Borner K, 2010, SCIENTOMETRICS","Waltman L, 2010, J INFORMETR",2
"Borner K, 2010, SCIENTOMETRICS","Cobo Mj, 2011, J AM SOC INF SCI TEC",2
"Borner K, 2010, SCIENTOMETRICS","Van Eck Nj, 2010, SCIENTOMETRICS",3
"Borner K, 2010, SCIENTOMETRICS","Schubert A, 2010, SCIENTOMETRICS",2
"Borner K, 2010, SCIENTOMETRICS","Fabrikant Si, 2010, J AM SOC INF SCI TEC",2
"Borner K, 2010, SCIENTOMETRICS","Chen Cm, 2010, J AM SOC INF SCI TEC",3
"Rons N, 2012, J INFORMETR","Leydesdorff L, 2011, J AM SOC INF SCI TEC",2
"Glanzel W, 2013, SCIENTOMETRICS","De Visscher A, 2011, J AM SOC INF SCI TEC",2
"Glanzel W, 2013, SCIENTOMETRICS","Prathap G, 2010, SCIENTOMETRICS",4
"Glanzel W, 2013, SCIENTOMETRICS","Leydesdorff L, 2010, J AM SOC INF SCI TEC",2
"Glanzel W, 2013, SCIENTOMETRICS","Pendlebury Da, 2012, SCIENTOMETRICS",3
"Glanzel W, 2013, SCIENTOMETRICS","Leydesdorff L, 2011, J AM SOC INF SCI TEC",2
"Glanzel W, 2013, SCIENTOMETRICS","Prathap G, 2011, SCIENTOMETRICS",6
"Glanzel W, 2013, SCIENTOMETRICS","Prathap G, 2014, J ASSOC INF SCI TECH",8
"Abramo G, 2011, J INFORMETR","Bornmann L, 2012, J INFORMETR",2
"Abramo G, 2011, J INFORMETR","Abramo G, 2013, J INFORMETR",11
"Abramo G, 2011, J INFORMETR","Waltman L, 2012, J AM SOC INF SCI TEC",2
"Abramo G, 2011, J INFORMETR","Strotmann A, 2012, J AM SOC INF SCI TEC",2
"Abramo G, 2011, J INFORMETR","Stvilia B, 2011, J AM SOC INF SCI TEC",2
"Abramo G, 2011, J INFORMETR","D'Angelo Ca, 2011, J AM SOC INF SCI TEC",12
"Abramo G, 2011, J INFORMETR","Franceschet M, 2011, J INFORMETR",2
"Abramo G, 2011, J INFORMETR","Jeong S, 2011, SCIENTOMETRICS",2
"Abramo G, 2011, J INFORMETR","Costas R, 2010, J AM SOC INF SCI TEC",2
"Abramo G, 2011, J INFORMETR","Morillo F, 2013, SCIENTOMETRICS",2
"Abramo G, 2011, J INFORMETR","Abramo G, 2011, SCIENTOMETRICS",14
"Abramo G, 2011, J INFORMETR","Abramo G, 2012, J INFORMETR",6
"Abramo G, 2011, J INFORMETR","Bornmann L, 2013, J INFORMETR",3
"Abramo G, 2011, J INFORMETR","Abramo G, 2010, SCIENTOMETRICS",2
"Abramo G, 2011, J INFORMETR","Franceschet M, 2010, J INFORMETR",2
"Abramo G, 2011, J INFORMETR","Liao Ch, 2011, SCIENTOMETRICS",2
"Chang Cl, 2011, SCIENTOMETRICS","Moed Hf, 2010, J INFORMETR",2
"Abrizah A, 2013, SCIENTOMETRICS","Sangwal K, 2012, SCIENTOMETRICS",2
"Squicciarini Ac, 2011, J AM SOC INF SCI TEC","Khan Gf, 2011, SCIENTOMETRICS",2
"Squicciarini Ac, 2011, J AM SOC INF SCI TEC","Thelwall M, 2010, J AM SOC INF SCI TEC",2
"Tol Rsj, 2011, SCIENTOMETRICS","Tao Tz, 2012, SCIENTOMETRICS",2
"Tol Rsj, 2011, SCIENTOMETRICS","Hagen Nt, 2010, SCIENTOMETRICS",3
"Tol Rsj, 2011, SCIENTOMETRICS","Hirsch Je, 2010, SCIENTOMETRICS",3
"Tol Rsj, 2011, SCIENTOMETRICS","Liu Xz, 2012, SCIENTOMETRICS",2
"Tol Rsj, 2011, SCIENTOMETRICS","Costas R, 2011, SCIENTOMETRICS",2
"Tol Rsj, 2011, SCIENTOMETRICS","Abbas Am, 2011, SCIENTOMETRICS",2
"Tol Rsj, 2011, SCIENTOMETRICS","Sangwal K, 2013, J INFORMETR",2
"Costas R, 2010, J AM SOC INF SCI TEC","Mccain Kw, 2011, J AM SOC INF SCI TEC",3
"Costas R, 2010, J AM SOC INF SCI TEC","Van Calster B, 2012, J AM SOC INF SCI TEC",2
"Costas R, 2010, J AM SOC INF SCI TEC","Bornmann L, 2012, J INFORMETR",3
"Costas R, 2010, J AM SOC INF SCI TEC","Bornmann L, 2010, J INFORMETR",3
"Costas R, 2010, J AM SOC INF SCI TEC","Albarran P, 2011, J AM SOC INF SCI TEC",2
"Costas R, 2010, J AM SOC INF SCI TEC","Waltman L, 2012, J AM SOC INF SCI TEC",6
"Costas R, 2010, J AM SOC INF SCI TEC","Hagen Nt, 2010, SCIENTOMETRICS",2
"Costas R, 2010, J AM SOC INF SCI TEC","Franceschet M, 2010, J INFORMETR",2
"Costas R, 2010, J AM SOC INF SCI TEC","Wagner Cs, 2011, J INFORMETR",2
"Costas R, 2010, J AM SOC INF SCI TEC","Frandsen Tf, 2012, J AM SOC INF SCI TEC",2
"Costas R, 2010, J AM SOC INF SCI TEC","Albarran P, 2011, SCIENTOMETRICS",2
"Costas R, 2010, J AM SOC INF SCI TEC","Lopez-Cozar Ed, 2014, J ASSOC INF SCI TECH",2
"Costas R, 2010, J AM SOC INF SCI TEC","Schneider Jw, 2013, J INFORMETR",2
"Costas R, 2010, J AM SOC INF SCI TEC","Belter Cw, 2013, SCIENTOMETRICS",2
"Costas R, 2010, J AM SOC INF SCI TEC","Bornmann L, 2011, J INFORMETR",3
"Costas R, 2010, J AM SOC INF SCI TEC","D'Angelo Ca, 2011, J AM SOC INF SCI TEC",3
"Costas R, 2010, J AM SOC INF SCI TEC","Burrell Ql, 2012, J AM SOC INF SCI TEC",2
"Costas R, 2010, J AM SOC INF SCI TEC","Li J, 2014, SCIENTOMETRICS",2
"Costas R, 2010, J AM SOC INF SCI TEC","Moed Hf, 2010, J INFORMETR",2
"Costas R, 2010, J AM SOC INF SCI TEC","Li J, 2012, SCIENTOMETRICS",3
"Costas R, 2010, J AM SOC INF SCI TEC","Abramo G, 2011, SCIENTOMETRICS",6
"Costas R, 2010, J AM SOC INF SCI TEC","Schreiber M, 2012, J INFORMETR",2
"Costas R, 2010, J AM SOC INF SCI TEC","Abramo G, 2012, J INFORMETR",2
"Costas R, 2010, J AM SOC INF SCI TEC","Bornmann L, 2013, J INFORMETR",3
"Costas R, 2010, J AM SOC INF SCI TEC","Leydesdorff L, 2011, J AM SOC INF SCI TEC",2
"Costas R, 2010, J AM SOC INF SCI TEC","Ohba N, 2012, SCIENTOMETRICS",3
"Costas R, 2010, J AM SOC INF SCI TEC","Egghe L, 2011, J AM SOC INF SCI TEC",3
"Costas R, 2010, J AM SOC INF SCI TEC","Claro J, 2011, SCIENTOMETRICS",2
"Costas R, 2010, J AM SOC INF SCI TEC","Costas R, 2011, SCIENTOMETRICS",4
"Costas R, 2010, J AM SOC INF SCI TEC","Abramo G, 2010, J AM SOC INF SCI TEC",2
"Costas R, 2010, J AM SOC INF SCI TEC","Glanzel W, 2010, J INFORMETR",2
"Jonkers K, 2012, J AM SOC INF SCI TEC","Thelwall M, 2010, J AM SOC INF SCI TEC",2
"Jonkers K, 2012, J AM SOC INF SCI TEC","Vaughan L, 2012, J AM SOC INF SCI TEC",2
"Jonkers K, 2012, J AM SOC INF SCI TEC","Holmberg K, 2010, SCIENTOMETRICS",2
"Jonkers K, 2012, J AM SOC INF SCI TEC","Thelwall M, 2011, J AM SOC INF SCI TEC",3
"Jonkers K, 2012, J AM SOC INF SCI TEC","Thelwall M, 2012, J INFORMETR",2
"Hellqvist B, 2010, J AM SOC INF SCI TEC","Leydesdorff L, 2010, J AM SOC INF SCI TEC",4
"Hellqvist B, 2010, J AM SOC INF SCI TEC","Linmans Ajm, 2010, SCIENTOMETRICS",3
"Leydesdorff L, 2013, J AM SOC INF SCI TEC","Bornmann L, 2012, J INFORMETR",2
