"ID","MK-ID","community","count","inCore","info","betweenness"
"Park H, 2012, SCIENTOMETRICS","WOS:000299088900011",3,2,True,"WOS:000299088900011, Park Hyunseok, Identifying patent infringement using SAO based semantic technological similarities, SCIENTOMETRICS, 90, 515",0.0
"Vieira Es, 2010, J INFORMETR","WOS:000281616200012",2,27,True,"WOS:000281616200012, Vieira E. S., A research impact indicator for institutions, JOURNAL OF INFORMETRICS, 4, 581",0.017
"Gingras Y, 2011, J INFORMETR","WOS:000285626000020",4,18,True,"WOS:000285626000020, Gingras Yves, There are neither ""king"" nor ""crown"" in scientometrics: Comments on a supposed ""alternative"" method of normalization, JOURNAL OF INFORMETRICS, 5, 226",0.0
"Chuang Ky, 2011, SCIENTOMETRICS","WOS:000289792600008",5,8,True,"WOS:000289792600008, Chuang Kun-Yang, High-impact papers presented in the subject category of water resources in the essential science indicators database of the institute for scientific information, SCIENTOMETRICS, 87, 551",0.0
"Choung Jy, 2013, SCIENTOMETRICS","WOS:000313711500011",6,4,True,"WOS:000313711500011, Choung Jae-Yong, The evolutionary patterns of knowledge production in Korea, SCIENTOMETRICS, 94, 629",0.003
"Gao X, 2012, SCIENTOMETRICS","WOS:000300325800001",4,3,True,"WOS:000300325800001, Gao Xia, Network model of knowledge diffusion, SCIENTOMETRICS, 90, 749",0.0
"Duffy Rd, 2011, SCIENTOMETRICS","WOS:000294839200010",1,4,True,"WOS:000294839200010, Duffy Ryan D., The research productivity of academic psychologists: assessment trends and best practice recommendations, SCIENTOMETRICS, 89, 207",0.0
"Zhou P, 2012, J INFORMETR","WOS:000308581700021",4,2,True,"WOS:000308581700021, Zhou Ping, The citation-based indicator and combined impact indicator-New options for measuring impact, JOURNAL OF INFORMETRICS, 6, 631",0.0
"Fragkiadaki E, 2011, SCIENTOMETRICS","WOS:000286627500009",2,1,True,"WOS:000286627500009, Fragkiadaki Eleni, f-Value: measuring an article's scientific impact, SCIENTOMETRICS, 86, 671",0.0
"Yoon K, 2012, J AM SOC INF SCI TEC","WOS:000303500300005",8,1,True,"WOS:000303500300005, Yoon Kyunghye, Conceptual syntagmatic associations in user tagging, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 923",0.0
"Lancho-Barrantes Bs, 2013, SCIENTOMETRICS","WOS:000314753500001",1,3,True,"WOS:000314753500001, Lancho-Barrantes Barbara S., Citation increments between collaborating countries, SCIENTOMETRICS, 94, 817",0.0
"Shin Jc, 2010, SCIENTOMETRICS","WOS:000282048200016",9,6,True,"WOS:000282048200016, Shin Jung Cheol, Multilevel analysis of academic publishing across disciplines: research preference collaboration and time on research, SCIENTOMETRICS, 85, 581",0.0
"Ardanuy J, 2012, SCIENTOMETRICS","WOS:000300325800008",2,3,True,"WOS:000300325800008, Ardanuy Jordi, Scientific collaboration in Library and Information Science viewed through the Web of Knowledge: the Spanish case, SCIENTOMETRICS, 90, 877",0.0
"Franceschini F, 2013, J INFORMETR","WOS:000313121300014",1,2,True,"WOS:000313121300014, Franceschini Fiorenzo, An informetric model for the success-index, JOURNAL OF INFORMETRICS, 7, 109",0.0
"Chen Cm, 2012, J AM SOC INF SCI TEC","WOS:000301038300001",7,5,True,"WOS:000301038300001, Chen Chaomei, Predictive Effects of Structural Variation on Citation Counts, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 431",0.0
"Gingras Y, 2010, SCIENTOMETRICS","WOS:000274111600013",2,6,True,"WOS:000274111600013, Gingras Yves, Why it has become more difficult to predict Nobel Prize winners: a bibliometric analysis of nominees and winners of the chemistry and physics prizes (1901-2007), SCIENTOMETRICS, 82, 401",0.0
"Abbasi A, 2010, SCIENTOMETRICS","WOS:000275417400001",7,10,True,"WOS:000275417400001, Abbasi Alireza, Evaluating scholars based on their academic collaboration activities: two indices the RC-index and the CC-index for quantifying collaboration activities of researchers and scientific communities, SCIENTOMETRICS, 83, 1",0.0
"Gazni A, 2012, J AM SOC INF SCI TEC","WOS:000302157900009",2,13,True,"WOS:000302157900009, Gazni Ali, Mapping World Scientific Collaboration: Authors Institutions and Countries, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 323",0.001
"Zhao Sx, 2012, J INFORMETR","WOS:000308581700020",7,2,True,"WOS:000308581700020, Zhao Star X., Exploring the directed h-degree in directed weighted networks, JOURNAL OF INFORMETRICS, 6, 619",0.0
"Guan Jc, 2012, SCIENTOMETRICS","WOS:000310964500003",3,4,True,"WOS:000310964500003, Guan Jiancheng, Transnational citation technological diversity and small world in global nanotechnology patenting, SCIENTOMETRICS, 93, 609",0.0
"Borner K, 2010, SCIENTOMETRICS","WOS:000277418400020",7,5,True,"WOS:000277418400020, Boerner Katy, Rete-netzwerk-red: analyzing and visualizing scholarly networks using the Network Workbench Tool, SCIENTOMETRICS, 83, 863",0.001
"Rons N, 2012, J INFORMETR","WOS:000298325300001",4,2,True,"WOS:000298325300001, Rons Nadine, Partition-based Field Normalization: An approach to highly specialized publication records, JOURNAL OF INFORMETRICS, 6, 1",0.0
"Glanzel W, 2013, SCIENTOMETRICS","WOS:000324275600002",6,9,True,"WOS:000324275600002, Glanzel Wolfgang, High-end performance or outlier? Evaluating the tail of scientometric distributions, SCIENTOMETRICS, 97, 13",0.0
"Abramo G, 2011, J INFORMETR","WOS:000296524200013",9,17,True,"WOS:000296524200013, Abramo Giovanni, A field-standardized application of DEA to national-scale research assessment of universities, JOURNAL OF INFORMETRICS, 5, 618",0.004
"Chang Cl, 2011, SCIENTOMETRICS","WOS:000287665900002",4,2,True,"WOS:000287665900002, Chang Chia-Lin, What makes a great journal great in the sciences? Which came first the chicken or the egg?, SCIENTOMETRICS, 87, 17",0.0
"Abrizah A, 2013, SCIENTOMETRICS","WOS:000313711500017",2,2,True,"WOS:000313711500017, Abrizah A., LIS journals scientific impact and subject categorization: a comparison between Web of Science and Scopus, SCIENTOMETRICS, 94, 721",0.0
"Squicciarini Ac, 2011, J AM SOC INF SCI TEC","WOS:000288142600009",8,1,True,"WOS:000288142600009, Squicciarini Anna C., CoPE: Enabling Collaborative Privacy Management in Online Social Networks, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62, 521",0.0
"Tol Rsj, 2011, SCIENTOMETRICS","WOS:000294839200016",5,6,True,"WOS:000294839200016, Tol Richard S. J., Credit where credit's due: accounting for co-authorship in citation counts, SCIENTOMETRICS, 89, 291",0.001
"Costas R, 2010, J AM SOC INF SCI TEC","WOS:000274038400009",9,28,True,"WOS:000274038400009, Costas Rodrigo, Is Scientific Literature Subject to a 'Sell-By-Date'? A General Methodology to Analyze the 'Durability' of Scientific Documents, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 329",0.033
"Jonkers K, 2012, J AM SOC INF SCI TEC","WOS:000302156300015",8,4,True,"WOS:000302156300015, Jonkers K., The Bibliometric Bandwagon: Characteristics of Bibliometric Articles Outside the Field Literature, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 829",0.0
"Hellqvist B, 2010, J AM SOC INF SCI TEC","WOS:000274038400007",11,9,True,"WOS:000274038400007, Hellqvist Bjorn, Referencing in the Humanities and its Implications for Citation Analysis, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 310",0.0
"Leydesdorff L, 2013, J AM SOC INF SCI TEC","WOS:000322870300012",4,9,True,"WOS:000322870300012, Leydesdorff Loet, The Swedish System of Innovation: Regional Synergies in a Knowledge-Based Economy, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 64, 1890",0.004
"Harzing Aw, 2013, SCIENTOMETRICS","WOS:000314753500017",9,16,True,"WOS:000314753500017, Harzing Anne-Wil, A preliminary test of Google Scholar as a source for citation data: a longitudinal study of Nobel prize winners, SCIENTOMETRICS, 94, 1057",0.006
"Sangwal K, 2013, J INFORMETR","WOS:000313121300004",2,6,True,"WOS:000313121300004, Sangwal Keshra, Comparison of different mathematical functions for the analysis of citation distribution of papers of individual authors, JOURNAL OF INFORMETRICS, 7, 36",0.012
"Tang L, 2010, SCIENTOMETRICS","WOS:000280274400014",7,15,True,"WOS:000280274400014, Tang Li, Bibliometric fingerprints: name disambiguation based on approximate structure equivalence of cognitive maps, SCIENTOMETRICS, 84, 763",0.011
"Lopez-Cozar Ed, 2014, J ASSOC INF SCI TECH","WOS:000335582300002",9,2,True,"WOS:000335582300002, Delgado Lopez-Cozar Emilio, The Google Scholar Experiment: How to Index False Papers and Manipulate Bibliometric Indicators, JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY, 65, 446",0.0
"Onyancha Ob, 2011, SCIENTOMETRICS","WOS:000289106900008",2,6,True,"WOS:000289106900008, Onyancha Omwoyo Bosire, Knowledge production through collaborative research in sub-Saharan Africa: how much do countries contribute to each other's knowledge output and citation impact?, SCIENTOMETRICS, 87, 315",0.01
"Sud P, 2014, SCIENTOMETRICS","WOS:000345136000014",1,2,True,"WOS:000345136000014, Sud Pardeep, Linked title mentions: a new automated link search candidate, SCIENTOMETRICS, 101, 1831",0.0
"Egghe L, 2013, J INFORMETR","WOS:000313121300022",6,6,True,"WOS:000313121300022, Egghe L., The functional relation between the impact factor and the uncitedness factor revisited, JOURNAL OF INFORMETRICS, 7, 183",0.0
"Waltman L, 2012, J AM SOC INF SCI TEC","WOS:000311853600006",1,79,True,"WOS:000311853600006, Waltman Ludo, The Leiden ranking 2011/2012: Data collection indicators and interpretation, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 2419",0.098
"Breimer Lh, 2010, SCIENTOMETRICS","WOS:000282048200002",0,9,True,"WOS:000282048200002, Breimer Lars H., A longitudinal and cross-sectional study of Swedish biomedical PhD processes 1991-2009 with emphasis on international and gender aspects, SCIENTOMETRICS, 85, 401",0.003
"Schreiber M, 2010, J AM SOC INF SCI TEC","WOS:000273155100013",4,9,True,"WOS:000273155100013, Schreiber Michael, Revisiting the g-Index: The Average Number of Citations in the g-Core, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 169",0.001
"Schiebel E, 2012, SCIENTOMETRICS","WOS:000302478200018",7,3,True,"WOS:000302478200018, Schiebel Edgar, Visualization of research fronts and knowledge bases by three-dimensional areal densities of bibliographically coupled publications and co-citations, SCIENTOMETRICS, 91, 557",0.0
"Zhang L, 2010, J INFORMETR","WOS:000275515500007",4,9,True,"WOS:000275515500007, Zhang Lin, Subject clustering analysis based on ISI category classification, JOURNAL OF INFORMETRICS, 4, 185",0.0
"Wong Cy, 2010, SCIENTOMETRICS","WOS:000280274400008",3,8,True,"WOS:000280274400008, Wong Chan-Yuan, Modeling the behaviour of science and technology: self-propagating growth in the diffusion process, SCIENTOMETRICS, 84, 669",0.001
"Yan E, 2010, J AM SOC INF SCI TEC","WOS:000280019100009",4,10,True,"WOS:000280019100009, Yan Erjia, Weighted Citation: An Indicator of an Article's Prestige, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 1635",0.003
