,abs-deviation,count,rank,year
0,12,22,85,1900
1,12,29,86,1901
2,-10,10,30,1902
3,-3,17,39,1903
4,3,20,76,1904
5,14,31,88,1905
6,-7,13,33,1906
7,-3,17,40,1907
8,0,20,42,1908
9,3,23,77,1909
10,0,20,43,1910
11,-2,18,41,1911
12,12,32,87,1912
13,0,20,44,1913
14,1,21,74,1914
15,-5,15,36,1915
16,0,17,45,1916
17,24,39,93,1917
18,-5,12,37,1918
19,-11,11,28,1919
20,9,31,84,1920
21,-9,22,31,1921
22,6,38,81,1922
23,8,40,82,1923
24,-6,32,35,1924
25,-21,19,22,1925
26,200,237,108,1926
27,32,76,96,1927
28,-7,37,34,1928
29,5,44,79,1929
30,-14,25,26,1930
31,0,39,46,1931
32,5,44,80,1932
33,-5,39,38,1933
34,118,174,105,1934
35,0,56,47,1935
36,0,58,48,1936
37,-19,39,23,1937
38,18,76,92,1938
39,17,61,91,1939
40,-8,44,32,1940
41,-15,29,24,1941
42,8,52,83,1942
43,-15,37,25,1943
44,0,52,49,1944
45,14,63,89,1945
46,-11,41,29,1946
47,-14,49,27,1947
48,113,214,104,1948
49,38,222,97,1949
50,-83,101,13,1950
51,0,184,50,1951
52,-45,96,18,1952
53,16,200,90,1953
54,-58,141,16,1954
55,95,295,103,1955
56,-45,199,19,1956
57,64,308,101,1957
58,0,244,51,1958
59,-62,228,14,1959
60,25,315,94,1960
61,-25,290,21,1961
62,0,465,52,1962
63,357,834,112,1963
64,-158,477,8,1964
65,0,780,53,1965
66,-145,635,9,1966
67,4,784,78,1967
68,59,843,99,1968
69,-92,739,12,1969
70,27,870,95,1970
71,-39,831,20,1971
72,89,1193,102,1972
73,343,1536,111,1973
74,-206,1104,5,1974
75,-226,1310,3,1975
76,0,1584,54,1976
77,121,1772,106,1977
78,-121,1651,11,1978
79,369,2231,113,1979
80,-189,1862,6,1980
81,-159,2051,7,1981
82,1,2210,75,1982
83,389,2599,114,1983
84,-338,2209,2,1984
85,0,2547,55,1985
86,585,3132,116,1986
87,-657,2475,1,1987
88,0,3205,56,1988
89,0,3308,57,1989
90,212,3938,109,1990
91,-212,3726,4,1991
92,137,4107,107,1992
93,-137,3970,10,1993
94,0,4800,58,1994
95,0,5158,59,1995
96,0,5970,60,1996
97,0,6787,61,1997
98,0,7945,62,1998
99,0,8157,63,1999
100,59,9226,100,2000
101,-59,9167,15,2001
102,0,10195,64,2002
103,0,10502,65,2003
104,0,10540,66,2004
105,398,11891,115,2005
106,334,11874,110,2006
107,-47,11493,17,2007
108,47,11540,98,2008
109,0,10713,67,2009
110,0,10321,68,2010
111,0,8999,69,2011
112,0,6829,70,2012
113,0,4692,71,2013
114,0,2431,72,2014
115,0,960,73,2015
