Cle,PartOrganizationID,PartInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
468124,27807,NVIDIA Corporation,California,Californie,UNITED STATES,…TATS-UNIS,2010
468124,29127,Advanced Micro Devices,Ontario,Ontario,CANADA,CANADA,2010
468124,27478,Intel of Canada Ltd,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
468124,9132,Electronic Arts Canada Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
460642,9081,Wyeth-Ayerst Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
466904,30185,Arjae Spectral Enterprises Ltd,Ontario,Ontario,CANADA,CANADA,2010
471961,30534,SIRADEL,Ontario,Ontario,CANADA,CANADA,2010
473213,9896,Research in Motion Limited,Ontario,Ontario,CANADA,CANADA,2010
463980,9828,Nexen Inc.,Alberta,Alberta,CANADA,CANADA,2010
463980,29866,Devon ARL Corporation,Alberta,Alberta,CANADA,CANADA,2010
463980,29868,OSUM Oil Sands Corporation,Alberta,Alberta,CANADA,CANADA,2010
463980,17459,Chevron Energy Technology Company,California,Californie,UNITED STATES,…TATS-UNIS,2010
463980,25108,Total E&P Canada Ltd.,Alberta,Alberta,CANADA,CANADA,2010
463980,27099,Laricina Energy Ltd,Alberta,Alberta,CANADA,CANADA,2010
463980,29303,StatoilHydro Canada Ltd,Alberta,Alberta,CANADA,CANADA,2010
463980,29867,Athabasca Oil Sands Corp.,Alberta,Alberta,CANADA,CANADA,2010
463980,17033,ConocoPhillips Canada Resources Corp.,Alberta,Alberta,CANADA,CANADA,2010
463980,22647,Japan Canada Oil Sands Ltd. (JACOS),Alberta,Alberta,CANADA,CANADA,2010
463980,29231,Petro-Canada Oil Sands Inc,Alberta,Alberta,CANADA,CANADA,2010
472806,24663,Autodesk Canada Inc,QuÈbec,QuÈbec,CANADA,CANADA,2010
460829,17073,Quantiam Technologies Inc.,Alberta,Alberta,CANADA,CANADA,2010
460829,28328,BioNex Energy Corp.,Alberta,Alberta,CANADA,CANADA,2010
460829,28330,Biofuel Canada Ltd,Alberta,Alberta,CANADA,CANADA,2010
460829,28329,SFN Biosystems Inc.,Alberta,Alberta,CANADA,CANADA,2010
460829,26472,Biopeak Corporation,Ontario,Ontario,CANADA,CANADA,2010
463271,17639,Ultrasonix Medical Corporation,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
452788,16885,Construction Owners Association of Alberta,Alberta,Alberta,CANADA,CANADA,2010
458201,16885,Construction Owners Association of Alberta,Alberta,Alberta,CANADA,CANADA,2010
452788,16618,Insituform Technologies Ltd.,Alberta,Alberta,CANADA,CANADA,2010
458201,16618,Insituform Technologies Ltd.,Alberta,Alberta,CANADA,CANADA,2010
452788,16620,Sureway Construction Management Ltd.,Alberta,Alberta,CANADA,CANADA,2010
458201,16620,Sureway Construction Management Ltd.,Alberta,Alberta,CANADA,CANADA,2010
452788,10487,Waiward Steel Fabricators Ltd,Alberta,Alberta,CANADA,CANADA,2010
458201,10487,Waiward Steel Fabricators Ltd,Alberta,Alberta,CANADA,CANADA,2010
452788,8998,North American Construction Group Inc.,Alberta,Alberta,CANADA,CANADA,2010
458201,8998,North American Construction Group Inc.,Alberta,Alberta,CANADA,CANADA,2010
452788,5104,Enbridge Pipelines Inc.,Alberta,Alberta,CANADA,CANADA,2010
458201,5104,Enbridge Pipelines Inc.,Alberta,Alberta,CANADA,CANADA,2010
458201,23972,Landmark Master Builder,Alberta,Alberta,CANADA,CANADA,2010
452788,23972,Landmark Master Builder,Alberta,Alberta,CANADA,CANADA,2010
458201,31206,PME Inc.,Alberta,Alberta,CANADA,CANADA,2010
