Cle,CoApplicantName-NomCoApplicant,CoAppOrganizationID,CoAppInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
487624,"Moshovos, Andreas",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
487624,"Abdelrahman, Tarek",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
487164,"Mansour, Raafat",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2011
487164,"El-Saadany, Ehab",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2011
485536,"Hassanzadeh, Hassan",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2011
485536,"Mehta, Sudarshan",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2011
485536,"Heidemann, Robert",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2011
485536,"Moore, Gordon",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2011
485536,"Maini, Brij",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2011
484867,"Rohling, Robert",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
484867,"Fenster, Aaron",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
484867,"Fichtinger, Gabor",29,Queen's University,Ontario,Ontario,CANADA,CANADA,2011
484867,"Mousavi, Parvin",29,Queen's University,Ontario,Ontario,CANADA,CANADA,2011
484867,"Salcudean, Septimiu (Tim)",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
484715,"Langford, Cooper",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2011
483687,"Langford, Cooper",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2011
495939,"Boegman, Leon",29,Queen's University,Ontario,Ontario,CANADA,CANADA,2011
495939,"Smith, Ralph",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2011
495939,"Mccann, Kevin",24,University of Guelph,Ontario,Ontario,CANADA,CANADA,2011
495969,"Tran, Honghi",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
495969,"Diosady, Levente",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
495969,"Papangelakis, Vladimiros",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
482412,"Srinivasan, Rengarajan (Raj)",16,University of Saskatchewan,Saskatchewan,Saskatchewan,CANADA,CANADA,2011
482412,"Homsy, George",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
482412,"Lewis, Mark",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
482412,"Doran, Charles",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
